run_id,split,cv_rate_pct,n_gt,n_baseline_eval,n_corrected_eval,mae_baseline_sec,rmse_baseline_sec,maxae_baseline_sec,abc_baseline_vehicle_sec,mae_corrected_sec,rmse_corrected_sec,maxae_corrected_sec,abc_corrected_vehicle_sec,mae_improvement_sec,mae_improvement_pct,rmse_improvement_sec,rmse_improvement_pct,maxae_improvement_sec,maxae_improvement_pct,abc_improvement_vehicle_sec,abc_improvement_pct
5,train,20,1343,1343,1343,19.09437581692644,22.10219911532579,58.214390503701,25643.746722132248,3.7875558966879614,7.003872882402137,41.10003662109375,5086.687569251939,15.306819920238478,80.16402351665019,15.098326232923652,68.31142075113416,17.114353882607247,29.39883718531623,20557.05915288031,80.16402351665019
6,train,20,1191,1191,1191,15.175806432452264,18.42784975158038,54.43399442298414,18074.38546105064,3.646135997310657,7.016475584124542,64.6586596170373,4342.547972796989,11.529670435141607,75.97402145619304,11.411374167455836,61.92461042003662,-10.22466519405316,-18.78360260428713,13731.83748825365,75.97402145619306
7,train,20,1312,1312,1312,16.70828680216726,19.391224330412033,47.70566400111761,21921.27228444344,2.8078146741505665,4.907573556576156,27.967630113493556,3683.8528524855437,13.900472128016695,83.19507734457635,14.483650773835876,74.69178081303812,19.738033887624056,41.37461305886372,18237.419431957896,83.19507734457633
8,train,20,1271,1271,1271,16.027505874829746,19.10664449372115,54.77803188691246,20370.95996690864,3.149653991910496,5.734912537675962,42.503135487319014,4003.21022371824,12.87785188291925,80.34844587480801,13.371731956045187,69.98472160006654,12.274896399593445,22.40842903033571,16367.749743190398,80.34844587480802
9,train,20,1392,1392,1392,19.71311356923073,22.485714272573396,54.8320738904215,27440.65408836917,3.143538497748515,5.865359804509799,67.0,4375.805588865934,16.569575071482216,84.05356674525979,16.620354468063596,73.9151723916372,-12.167926109578502,-22.191256405685746,23064.848499503238,84.05356674525979
10,train,20,1358,1358,1358,15.860434858024808,19.193490665708943,49.12035739729643,21538.470537197707,3.9106144960376548,7.267076518912167,50.70001220703125,5310.614485619133,11.949820361987154,75.34358590389454,11.926414146796777,62.1378067935526,-1.5796548097348193,-3.215886230139203,16227.856051578574,75.34358590389455
11,test,20,1345,1345,1345,17.86169748668468,20.66982622614904,55.25654560819976,24023.98311959092,3.1150922617680328,5.593836731983505,37.49457263466911,4189.799092078004,14.746605224916646,82.55993158494462,15.075989494165537,72.9371854858323,17.761972973530646,32.144559125127195,19834.184027512918,82.55993158494466
12,test,20,1260,1260,1260,15.99703322594505,19.094352080082956,49.48947178188928,20156.26186469079,3.40831698294067,6.1875695570085405,44.112839395370884,4294.479398505243,12.588716243004379,78.69406823877294,12.906782523074416,67.5947655565506,5.376632386518395,10.86419432847125,15861.782466185548,78.694068238773
13,test,20,1285,1285,1285,17.350059620874866,20.46345079400838,52.62850155901492,22294.826612824225,4.18804529756407,8.316179919860161,52.0,5381.638207369828,13.162014323310796,75.86149333731862,12.14727087414822,59.360813561830405,0.6285015590149214,1.1942227887870829,16913.1884054544,75.86149333731866
14,test,20,1352,1352,1352,16.05082943740759,19.824546385624295,52.477853825470504,21700.721399375037,3.207947180466717,5.9691340902366665,44.966161278023264,4337.144587991,12.842882256940872,80.01382300536837,13.855412295387628,69.89018576200479,7.51169254744724,14.314023916506635,17363.57681138404,80.01382300536837
